5C  A5 2
2F47  65E5 3
2F48  66F0 3
2F49  6708 3
2F4A  6728 3
2F4B  6B20 3
2F4C  6B62 3
2F4D  6B79 3
2F4E  6BB3 3
2F4F  6BCB 3
2F50  6BD4 3
2F51  6BDB 3
2F52  6C0F 3
2F53  6C14 3
2F54  6C34 3
2F55  706B 3
2F56  722A 3
2F57  7236 3
2F58  723B 3
2F59  723F 3
2F5A  7247 3
2F5B  7259 3
2F5C  725B 3
2F5D  72AC 3
2F5E  7384 3
2F5F  7389 3
2F60  74DC 3
2F61  74E6 3
2F62  7518 3
2F63  751F 3
2F64  7528 3
2F65  7530 3
2F66  758B 3
2F68  7676 3
2F69  767D 3
2F6A  76AE 3
